Service Type,Year,Value
Weekday,"May 21, 2018",626507.0
July 4th Special,"May 22, 2018",
July 4th Special Sked,"May 22, 2018",
Saturday,"May 22, 2018",
Saturday Holiday,"May 22, 2018",
Special(Saturday),"May 22, 2018",
Sunday,"May 22, 2018",
Sunday Holiday,"May 22, 2018",
Weekday,"May 22, 2018",644905.0
July 4th Special,"May 23, 2018",
July 4th Special Sked,"May 23, 2018",
Saturday,"May 23, 2018",
Saturday Holiday,"May 23, 2018",
Special(Saturday),"May 23, 2018",
Sunday,"May 23, 2018",
Sunday Holiday,"May 23, 2018",
Weekday,"May 23, 2018",668938.0
July 4th Special,"May 24, 2018",
July 4th Special Sked,"May 24, 2018",
Saturday,"May 24, 2018",
Saturday Holiday,"May 24, 2018",
Special(Saturday),"May 24, 2018",
Sunday,"May 24, 2018",
Sunday Holiday,"May 24, 2018",
Weekday,"May 24, 2018",634129.0
July 4th Special,"May 25, 2018",
July 4th Special Sked,"May 25, 2018",
Saturday,"May 25, 2018",
Saturday Holiday,"May 25, 2018",
Special(Saturday),"May 25, 2018",
Sunday,"May 25, 2018",
Sunday Holiday,"May 25, 2018",
Weekday,"May 25, 2018",541365.0
July 4th Special,"May 28, 2018",
July 4th Special Sked,"May 28, 2018",
Saturday,"May 28, 2018",
Saturday Holiday,"May 28, 2018",
Special(Saturday),"May 28, 2018",
Sunday,"May 28, 2018",180427.0
Sunday Holiday,"May 28, 2018",
Weekday,"May 28, 2018",
July 4th Special,"May 29, 2018",
July 4th Special Sked,"May 29, 2018",
Saturday,"May 29, 2018",
Saturday Holiday,"May 29, 2018",
Special(Saturday),"May 29, 2018",
Sunday,"May 29, 2018",
Sunday Holiday,"May 29, 2018",
Weekday,"May 29, 2018",608833.0
July 4th Special,"May 30, 2018",
July 4th Special Sked,"May 30, 2018",
Saturday,"May 30, 2018",
Saturday Holiday,"May 30, 2018",
Special(Saturday),"May 30, 2018",
Sunday,"May 30, 2018",
Sunday Holiday,"May 30, 2018",
Weekday,"May 30, 2018",645302.0
July 4th Special,"May 31, 2018",
July 4th Special Sked,"May 31, 2018",
Saturday,"May 31, 2018",
Saturday Holiday,"May 31, 2018",
Special(Saturday),"May 31, 2018",
Sunday,"May 31, 2018",
Sunday Holiday,"May 31, 2018",
Weekday,"May 31, 2018",629027.0
July 4th Special,"June 1, 2018",
July 4th Special Sked,"June 1, 2018",
Saturday,"June 1, 2018",
Saturday Holiday,"June 1, 2018",
Special(Saturday),"June 1, 2018",
Sunday,"June 1, 2018",
Sunday Holiday,"June 1, 2018",
Weekday,"June 1, 2018",603398.0
July 4th Special,"June 4, 2018",
July 4th Special Sked,"June 4, 2018",
Saturday,"June 4, 2018",
Saturday Holiday,"June 4, 2018",
Special(Saturday),"June 4, 2018",
Sunday,"June 4, 2018",
Sunday Holiday,"June 4, 2018",
Weekday,"June 4, 2018",674446.0
July 4th Special,"June 5, 2018",
July 4th Special Sked,"June 5, 2018",
Saturday,"June 5, 2018",
Saturday Holiday,"June 5, 2018",
Special(Saturday),"June 5, 2018",
Sunday,"June 5, 2018",
Sunday Holiday,"June 5, 2018",
Weekday,"June 5, 2018",693484.0
July 4th Special,"June 6, 2018",
July 4th Special Sked,"June 6, 2018",
Saturday,"June 6, 2018",
Saturday Holiday,"June 6, 2018",
Special(Saturday),"June 6, 2018",
Sunday,"June 6, 2018",
Sunday Holiday,"June 6, 2018",
Weekday,"June 6, 2018",693979.0
July 4th Special,"June 7, 2018",
July 4th Special Sked,"June 7, 2018",
Saturday,"June 7, 2018",
Saturday Holiday,"June 7, 2018",
Special(Saturday),"June 7, 2018",
Sunday,"June 7, 2018",
Sunday Holiday,"June 7, 2018",
Weekday,"June 7, 2018",768216.0
July 4th Special,"June 8, 2018",
July 4th Special Sked,"June 8, 2018",
Saturday,"June 8, 2018",
Saturday Holiday,"June 8, 2018",
Special(Saturday),"June 8, 2018",
Sunday,"June 8, 2018",
Sunday Holiday,"June 8, 2018",
Weekday,"June 8, 2018",641108.0
July 4th Special,"June 11, 2018",
July 4th Special Sked,"June 11, 2018",
Saturday,"June 11, 2018",
Saturday Holiday,"June 11, 2018",
Special(Saturday),"June 11, 2018",
Sunday,"June 11, 2018",
Sunday Holiday,"June 11, 2018",
Weekday,"June 11, 2018",640156.0
July 4th Special,"June 12, 2018",
July 4th Special Sked,"June 12, 2018",
Saturday,"June 12, 2018",
Saturday Holiday,"June 12, 2018",
Special(Saturday),"June 12, 2018",
Sunday,"June 12, 2018",
Sunday Holiday,"June 12, 2018",
Weekday,"June 12, 2018",843518.0
July 4th Special,"June 13, 2018",
July 4th Special Sked,"June 13, 2018",
Saturday,"June 13, 2018",
Saturday Holiday,"June 13, 2018",
Special(Saturday),"June 13, 2018",
Sunday,"June 13, 2018",
Sunday Holiday,"June 13, 2018",
Weekday,"June 13, 2018",693771.0
July 4th Special,"June 14, 2018",
July 4th Special Sked,"June 14, 2018",
Saturday,"June 14, 2018",
Saturday Holiday,"June 14, 2018",
Special(Saturday),"June 14, 2018",
Sunday,"June 14, 2018",
Sunday Holiday,"June 14, 2018",
Weekday,"June 14, 2018",690439.0
July 4th Special,"June 15, 2018",
July 4th Special Sked,"June 15, 2018",
Saturday,"June 15, 2018",
Saturday Holiday,"June 15, 2018",
Special(Saturday),"June 15, 2018",
Sunday,"June 15, 2018",
Sunday Holiday,"June 15, 2018",
Weekday,"June 15, 2018",620616.0
July 4th Special,"June 18, 2018",
July 4th Special Sked,"June 18, 2018",
Saturday,"June 18, 2018",
Saturday Holiday,"June 18, 2018",
Special(Saturday),"June 18, 2018",
Sunday,"June 18, 2018",
Sunday Holiday,"June 18, 2018",
Weekday,"June 18, 2018",646913.0
July 4th Special,"June 19, 2018",
July 4th Special Sked,"June 19, 2018",
Saturday,"June 19, 2018",
Saturday Holiday,"June 19, 2018",
Special(Saturday),"June 19, 2018",
Sunday,"June 19, 2018",
Sunday Holiday,"June 19, 2018",
Weekday,"June 19, 2018",676055.0
July 4th Special,"June 20, 2018",
July 4th Special Sked,"June 20, 2018",
Saturday,"June 20, 2018",
Saturday Holiday,"June 20, 2018",
Special(Saturday),"June 20, 2018",
Sunday,"June 20, 2018",
Sunday Holiday,"June 20, 2018",
Weekday,"June 20, 2018",720008.0
July 4th Special,"June 21, 2018",
July 4th Special Sked,"June 21, 2018",
Saturday,"June 21, 2018",
Saturday Holiday,"June 21, 2018",
Special(Saturday),"June 21, 2018",
Sunday,"June 21, 2018",
Sunday Holiday,"June 21, 2018",
Weekday,"June 21, 2018",706144.0
July 4th Special,"June 22, 2018",
July 4th Special Sked,"June 22, 2018",
Saturday,"June 22, 2018",
Saturday Holiday,"June 22, 2018",
Special(Saturday),"June 22, 2018",
Sunday,"June 22, 2018",
Sunday Holiday,"June 22, 2018",
Weekday,"June 22, 2018",605091.0
July 4th Special,"June 25, 2018",
July 4th Special Sked,"June 25, 2018",
Saturday,"June 25, 2018",
Saturday Holiday,"June 25, 2018",
Special(Saturday),"June 25, 2018",
Sunday,"June 25, 2018",
Sunday Holiday,"June 25, 2018",
Weekday,"June 25, 2018",641661.0
July 4th Special,"June 26, 2018",
July 4th Special Sked,"June 26, 2018",
Saturday,"June 26, 2018",
Saturday Holiday,"June 26, 2018",
Special(Saturday),"June 26, 2018",
Sunday,"June 26, 2018",
Sunday Holiday,"June 26, 2018",
Weekday,"June 26, 2018",686554.0
July 4th Special,"June 27, 2018",
July 4th Special Sked,"June 27, 2018",
Saturday,"June 27, 2018",
Saturday Holiday,"June 27, 2018",
Special(Saturday),"June 27, 2018",
Sunday,"June 27, 2018",
Sunday Holiday,"June 27, 2018",
Weekday,"June 27, 2018",675641.0
July 4th Special,"June 28, 2018",
July 4th Special Sked,"June 28, 2018",
Saturday,"June 28, 2018",
Saturday Holiday,"June 28, 2018",
Special(Saturday),"June 28, 2018",
Sunday,"June 28, 2018",
Sunday Holiday,"June 28, 2018",
Weekday,"June 28, 2018",680262.0
July 4th Special,"June 29, 2018",
July 4th Special Sked,"June 29, 2018",
Saturday,"June 29, 2018",
Saturday Holiday,"June 29, 2018",
Special(Saturday),"June 29, 2018",
Sunday,"June 29, 2018",
Sunday Holiday,"June 29, 2018",
Weekday,"June 29, 2018",619031.0
July 4th Special,"July 2, 2018",
July 4th Special Sked,"July 2, 2018",
Saturday,"July 2, 2018",
Saturday Holiday,"July 2, 2018",
Special(Saturday),"July 2, 2018",
Sunday,"July 2, 2018",
Sunday Holiday,"July 2, 2018",
Weekday,"July 2, 2018",614354.0
July 4th Special,"July 3, 2018",
July 4th Special Sked,"July 3, 2018",
Saturday,"July 3, 2018",
Saturday Holiday,"July 3, 2018",
Special(Saturday),"July 3, 2018",
Sunday,"July 3, 2018",
Sunday Holiday,"July 3, 2018",
Weekday,"July 3, 2018",649320.0
July 4th Special,"July 4, 2018",393581.0
July 4th Special Sked,"July 4, 2018",
Saturday,"July 4, 2018",
Saturday Holiday,"July 4, 2018",
Special(Saturday),"July 4, 2018",
Sunday,"July 4, 2018",
Sunday Holiday,"July 4, 2018",
Weekday,"July 4, 2018",
July 4th Special,"July 5, 2018",
July 4th Special Sked,"July 5, 2018",
Saturday,"July 5, 2018",
Saturday Holiday,"July 5, 2018",
Special(Saturday),"July 5, 2018",
Sunday,"July 5, 2018",
Sunday Holiday,"July 5, 2018",
Weekday,"July 5, 2018",592436.0
July 4th Special,"July 6, 2018",
July 4th Special Sked,"July 6, 2018",
Saturday,"July 6, 2018",
Saturday Holiday,"July 6, 2018",
Special(Saturday),"July 6, 2018",
Sunday,"July 6, 2018",
Sunday Holiday,"July 6, 2018",
Weekday,"July 6, 2018",567710.0
July 4th Special,"July 9, 2018",
July 4th Special Sked,"July 9, 2018",
Saturday,"July 9, 2018",
Saturday Holiday,"July 9, 2018",
Special(Saturday),"July 9, 2018",
Sunday,"July 9, 2018",
Sunday Holiday,"July 9, 2018",
Weekday,"July 9, 2018",632260.0
July 4th Special,"July 10, 2018",
July 4th Special Sked,"July 10, 2018",
Saturday,"July 10, 2018",
Saturday Holiday,"July 10, 2018",
Special(Saturday),"July 10, 2018",
Sunday,"July 10, 2018",
Sunday Holiday,"July 10, 2018",
Weekday,"July 10, 2018",681020.0
July 4th Special,"July 11, 2018",
July 4th Special Sked,"July 11, 2018",
Saturday,"July 11, 2018",
Saturday Holiday,"July 11, 2018",
Special(Saturday),"July 11, 2018",
Sunday,"July 11, 2018",
Sunday Holiday,"July 11, 2018",
Weekday,"July 11, 2018",688430.0
July 4th Special,"July 12, 2018",
July 4th Special Sked,"July 12, 2018",
Saturday,"July 12, 2018",
Saturday Holiday,"July 12, 2018",
Special(Saturday),"July 12, 2018",
Sunday,"July 12, 2018",
Sunday Holiday,"July 12, 2018",
Weekday,"July 12, 2018",681254.0
July 4th Special,"July 13, 2018",
July 4th Special Sked,"July 13, 2018",
Saturday,"July 13, 2018",
Saturday Holiday,"July 13, 2018",
Special(Saturday),"July 13, 2018",
Sunday,"July 13, 2018",
Sunday Holiday,"July 13, 2018",
Weekday,"July 13, 2018",633314.0
July 4th Special,"July 16, 2018",
July 4th Special Sked,"July 16, 2018",
Saturday,"July 16, 2018",
Saturday Holiday,"July 16, 2018",
Special(Saturday),"July 16, 2018",
Sunday,"July 16, 2018",
Sunday Holiday,"July 16, 2018",
Weekday,"July 16, 2018",667558.0
July 4th Special,"July 17, 2018",
July 4th Special Sked,"July 17, 2018",
Saturday,"July 17, 2018",
Saturday Holiday,"July 17, 2018",
Special(Saturday),"July 17, 2018",
Sunday,"July 17, 2018",
Sunday Holiday,"July 17, 2018",
Weekday,"July 17, 2018",700566.0
July 4th Special,"July 18, 2018",
July 4th Special Sked,"July 18, 2018",
Saturday,"July 18, 2018",
Saturday Holiday,"July 18, 2018",
Special(Saturday),"July 18, 2018",
Sunday,"July 18, 2018",
Sunday Holiday,"July 18, 2018",
Weekday,"July 18, 2018",686727.0
July 4th Special,"July 19, 2018",
July 4th Special Sked,"July 19, 2018",
Saturday,"July 19, 2018",
Saturday Holiday,"July 19, 2018",
Special(Saturday),"July 19, 2018",
Sunday,"July 19, 2018",
Sunday Holiday,"July 19, 2018",
Weekday,"July 19, 2018",682047.0
July 4th Special,"July 20, 2018",
July 4th Special Sked,"July 20, 2018",
Saturday,"July 20, 2018",
Saturday Holiday,"July 20, 2018",
Special(Saturday),"July 20, 2018",
Sunday,"July 20, 2018",
Sunday Holiday,"July 20, 2018",
Weekday,"July 20, 2018",643825.0
July 4th Special,"July 23, 2018",
July 4th Special Sked,"July 23, 2018",
Saturday,"July 23, 2018",
Saturday Holiday,"July 23, 2018",
Special(Saturday),"July 23, 2018",
Sunday,"July 23, 2018",
Sunday Holiday,"July 23, 2018",
Weekday,"July 23, 2018",593174.0
July 4th Special,"July 24, 2018",
July 4th Special Sked,"July 24, 2018",
Saturday,"July 24, 2018",
Saturday Holiday,"July 24, 2018",
Special(Saturday),"July 24, 2018",
Sunday,"July 24, 2018",
Sunday Holiday,"July 24, 2018",
Weekday,"July 24, 2018",630751.0
July 4th Special,"July 25, 2018",
July 4th Special Sked,"July 25, 2018",
Saturday,"July 25, 2018",
Saturday Holiday,"July 25, 2018",
Special(Saturday),"July 25, 2018",
Sunday,"July 25, 2018",
Sunday Holiday,"July 25, 2018",
Weekday,"July 25, 2018",645894.0
July 4th Special,"July 26, 2018",
July 4th Special Sked,"July 26, 2018",
Saturday,"July 26, 2018",
Saturday Holiday,"July 26, 2018",
Special(Saturday),"July 26, 2018",
Sunday,"July 26, 2018",
Sunday Holiday,"July 26, 2018",
Weekday,"July 26, 2018",669886.0
July 4th Special,"July 27, 2018",
July 4th Special Sked,"July 27, 2018",
Saturday,"July 27, 2018",
Saturday Holiday,"July 27, 2018",
Special(Saturday),"July 27, 2018",
Sunday,"July 27, 2018",
Sunday Holiday,"July 27, 2018",
Weekday,"July 27, 2018",602381.0
July 4th Special,"July 30, 2018",
July 4th Special Sked,"July 30, 2018",
Saturday,"July 30, 2018",
Saturday Holiday,"July 30, 2018",
Special(Saturday),"July 30, 2018",
Sunday,"July 30, 2018",
Sunday Holiday,"July 30, 2018",
Weekday,"July 30, 2018",582311.0
July 4th Special,"July 31, 2018",
July 4th Special Sked,"July 31, 2018",
Saturday,"July 31, 2018",
Saturday Holiday,"July 31, 2018",
Special(Saturday),"July 31, 2018",
Sunday,"July 31, 2018",
Sunday Holiday,"July 31, 2018",
Weekday,"July 31, 2018",641550.0
July 4th Special,"August 1, 2018",
July 4th Special Sked,"August 1, 2018",
Saturday,"August 1, 2018",
Saturday Holiday,"August 1, 2018",
Special(Saturday),"August 1, 2018",
Sunday,"August 1, 2018",
Sunday Holiday,"August 1, 2018",
Weekday,"August 1, 2018",640557.0
July 4th Special,"August 2, 2018",
July 4th Special Sked,"August 2, 2018",
Saturday,"August 2, 2018",
Saturday Holiday,"August 2, 2018",
Special(Saturday),"August 2, 2018",
Sunday,"August 2, 2018",
Sunday Holiday,"August 2, 2018",
Weekday,"August 2, 2018",626464.0
July 4th Special,"August 3, 2018",
July 4th Special Sked,"August 3, 2018",
Saturday,"August 3, 2018",
Saturday Holiday,"August 3, 2018",
Special(Saturday),"August 3, 2018",
Sunday,"August 3, 2018",
Sunday Holiday,"August 3, 2018",
Weekday,"August 3, 2018",574767.0
July 4th Special,"August 6, 2018",
July 4th Special Sked,"August 6, 2018",
Saturday,"August 6, 2018",
Saturday Holiday,"August 6, 2018",
Special(Saturday),"August 6, 2018",
Sunday,"August 6, 2018",
Sunday Holiday,"August 6, 2018",
Weekday,"August 6, 2018",566806.0
July 4th Special,"August 7, 2018",
July 4th Special Sked,"August 7, 2018",
Saturday,"August 7, 2018",
Saturday Holiday,"August 7, 2018",
Special(Saturday),"August 7, 2018",
Sunday,"August 7, 2018",
Sunday Holiday,"August 7, 2018",
Weekday,"August 7, 2018",626499.0
July 4th Special,"August 8, 2018",
July 4th Special Sked,"August 8, 2018",
Saturday,"August 8, 2018",
Saturday Holiday,"August 8, 2018",
Special(Saturday),"August 8, 2018",
Sunday,"August 8, 2018",
Sunday Holiday,"August 8, 2018",
Weekday,"August 8, 2018",624637.0
July 4th Special,"August 9, 2018",
July 4th Special Sked,"August 9, 2018",
Saturday,"August 9, 2018",
Saturday Holiday,"August 9, 2018",
Special(Saturday),"August 9, 2018",
Sunday,"August 9, 2018",
Sunday Holiday,"August 9, 2018",
Weekday,"August 9, 2018",621123.0
July 4th Special,"August 10, 2018",
July 4th Special Sked,"August 10, 2018",
Saturday,"August 10, 2018",
Saturday Holiday,"August 10, 2018",
Special(Saturday),"August 10, 2018",
Sunday,"August 10, 2018",
Sunday Holiday,"August 10, 2018",
Weekday,"August 10, 2018",549317.0
July 4th Special,"August 13, 2018",
July 4th Special Sked,"August 13, 2018",
Saturday,"August 13, 2018",
Saturday Holiday,"August 13, 2018",
Special(Saturday),"August 13, 2018",
Sunday,"August 13, 2018",
Sunday Holiday,"August 13, 2018",
Weekday,"August 13, 2018",489834.0
July 4th Special,"August 14, 2018",
July 4th Special Sked,"August 14, 2018",
Saturday,"August 14, 2018",
Saturday Holiday,"August 14, 2018",
Special(Saturday),"August 14, 2018",
Sunday,"August 14, 2018",
Sunday Holiday,"August 14, 2018",
Weekday,"August 14, 2018",525641.0
July 4th Special,"August 15, 2018",
July 4th Special Sked,"August 15, 2018",
Saturday,"August 15, 2018",
Saturday Holiday,"August 15, 2018",
Special(Saturday),"August 15, 2018",
Sunday,"August 15, 2018",
Sunday Holiday,"August 15, 2018",
Weekday,"August 15, 2018",533312.0
July 4th Special,"August 16, 2018",
July 4th Special Sked,"August 16, 2018",
Saturday,"August 16, 2018",
Saturday Holiday,"August 16, 2018",
Special(Saturday),"August 16, 2018",
Sunday,"August 16, 2018",
Sunday Holiday,"August 16, 2018",
Weekday,"August 16, 2018",526158.0
July 4th Special,"August 17, 2018",
July 4th Special Sked,"August 17, 2018",
Saturday,"August 17, 2018",
Saturday Holiday,"August 17, 2018",
Special(Saturday),"August 17, 2018",
Sunday,"August 17, 2018",
Sunday Holiday,"August 17, 2018",
Weekday,"August 17, 2018",493621.0
July 4th Special,"August 20, 2018",
July 4th Special Sked,"August 20, 2018",
Saturday,"August 20, 2018",
Saturday Holiday,"August 20, 2018",
Special(Saturday),"August 20, 2018",
Sunday,"August 20, 2018",
Sunday Holiday,"August 20, 2018",
Weekday,"August 20, 2018",497870.0
July 4th Special,"August 21, 2018",
July 4th Special Sked,"August 21, 2018",
Saturday,"August 21, 2018",
Saturday Holiday,"August 21, 2018",
Special(Saturday),"August 21, 2018",
Sunday,"August 21, 2018",
Sunday Holiday,"August 21, 2018",
Weekday,"August 21, 2018",521022.0
July 4th Special,"August 22, 2018",
July 4th Special Sked,"August 22, 2018",
Saturday,"August 22, 2018",
Saturday Holiday,"August 22, 2018",
Special(Saturday),"August 22, 2018",
Sunday,"August 22, 2018",
Sunday Holiday,"August 22, 2018",
Weekday,"August 22, 2018",552084.0
July 4th Special,"August 23, 2018",
July 4th Special Sked,"August 23, 2018",
Saturday,"August 23, 2018",
Saturday Holiday,"August 23, 2018",
Special(Saturday),"August 23, 2018",
Sunday,"August 23, 2018",
Sunday Holiday,"August 23, 2018",
Weekday,"August 23, 2018",550311.0
July 4th Special,"August 24, 2018",
July 4th Special Sked,"August 24, 2018",
Saturday,"August 24, 2018",
Saturday Holiday,"August 24, 2018",
Special(Saturday),"August 24, 2018",
Sunday,"August 24, 2018",
Sunday Holiday,"August 24, 2018",
Weekday,"August 24, 2018",491804.0
July 4th Special,"August 27, 2018",
July 4th Special Sked,"August 27, 2018",
Saturday,"August 27, 2018",
Saturday Holiday,"August 27, 2018",
Special(Saturday),"August 27, 2018",
Sunday,"August 27, 2018",
Sunday Holiday,"August 27, 2018",
Weekday,"August 27, 2018",531513.0
July 4th Special,"August 28, 2018",
July 4th Special Sked,"August 28, 2018",
Saturday,"August 28, 2018",
Saturday Holiday,"August 28, 2018",
Special(Saturday),"August 28, 2018",
Sunday,"August 28, 2018",
Sunday Holiday,"August 28, 2018",
Weekday,"August 28, 2018",573884.0
July 4th Special,"August 29, 2018",
July 4th Special Sked,"August 29, 2018",
Saturday,"August 29, 2018",
Saturday Holiday,"August 29, 2018",
Special(Saturday),"August 29, 2018",
Sunday,"August 29, 2018",
